trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
134,False,"{'a': 0.3, 'e': 0.13398867466880499}",25,13,23.70165212556974,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
135,False,"{'a': 0.3, 'e': 0.13199384318783022}",20,9,13.691388450087963,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
136,False,"{'a': 0.3, 'e': 0.1300287108784259}",20,0,24.309194933229058,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
137,False,"{'a': 0.3, 'e': 0.12809283557753204}",20,15,10.092441261143598,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
138,False,"{'a': 0.3, 'e': 0.12618578170503877}",30,12,8.320106963432828,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 0}",1
139,False,"{'a': 0.3, 'e': 0.12430712016577938}",20,10,18.54759703517593,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
140,False,"{'a': 0.3, 'e': 0.1224564282529819}",20,13,-41.024558627563614,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 1}",1
141,False,"{'a': 0.3, 'e': 0.12063328955315832}",20,4,26.24016439615517,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
142,False,"{'a': 0.3, 'e': 0.11883729385240965}",20,7,-1.9242309836567166,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 0}",1
143,False,"{'a': 0.3, 'e': 0.11706803704412637}",20,0,19.726191973902054,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
144,False,"{'a': 0.3, 'e': 0.11532512103806251}",20,11,9.213912977851418,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
145,False,"{'a': 0.3, 'e': 0.11360815367076377}",20,15,10.193706452228312,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
146,False,"{'a': 0.3, 'e': 0.11191674861732888}",25,3,34.46044669667277,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
147,False,"{'a': 0.3, 'e': 0.11025052530448522}",20,12,0.5548775606615723,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
148,False,"{'a': 0.3, 'e': 0.10860910882495801}",20,8,20.96655717411147,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
149,False,"{'a': 0.3, 'e': 0.10699212985311449}",30,17,23.48636699600001,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
150,False,"{'a': 0.3, 'e': 0.10539922456186433}",20,11,17.246052847749517,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
151,False,"{'a': 0.3, 'e': 0.10383003454079692}",30,14,28.594417573492677,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
152,False,"{'a': 0.3, 'e': 0.10228420671553748}",25,15,8.572039490773985,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
153,False,"{'a': 0.3, 'e': 0.10076139326830373}",25,17,12.748337812650947,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
154,False,"{'a': 0.3, 'e': 0.09926125155964566}",20,14,11.829064075130582,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
155,False,"{'a': 0.3, 'e': 0.09778344405135009}",20,15,8.975340615680505,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
156,False,"{'a': 0.3, 'e': 0.09632763823049303}",20,13,12.102801126608645,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
157,False,"{'a': 0.3, 'e': 0.09489350653462311}",20,11,2.4035992275718745,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
158,False,"{'a': 0.3, 'e': 0.09348072627805847}",20,14,10.053978312551436,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
159,False,"{'a': 0.3, 'e': 0.0920889795792812}",20,3,18.96160110972751,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
160,False,"{'a': 0.3, 'e': 0.09071795328941251}",20,3,-34.617511659222146,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 1}",1
161,False,"{'a': 0.3, 'e': 0.08936733892175319}",25,15,4.497458940354573,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
